INFO:__main__:Using framework: os_ken
INFO:__main__:OpenFlow listen port: 6633
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:loading app ryu_controller
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:instantiating app os_ken.controller.ofp_handler of OFPHandler
INFO:os_ken.base.app_manager:instantiating app ryu_controller of SimpleSDNMonitor
INFO:ryu_controller:CSV logging → stats: /mnt/mpclient/logs/flow_stats_20260331_193354.csv
INFO:ryu_controller:CSV logging → events: /mnt/mpclient/logs/events_20260331_193354.csv
INFO:__main__:Controller started with 1 services.
INFO:ryu_controller:Installed table-miss flow on datapath 1
INFO:ryu_controller:Datapath 1 connected
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=41
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=42
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=42
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=43
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=43
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=44
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=44
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=45
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=45
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=46
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=46
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=47
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=47
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=48
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=48
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=49
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=49
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=50
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=50
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=51
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=51
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=52
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=52
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=53
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=53
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=54
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=54
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=55
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=55
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=56
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=56
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=57
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=57
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=58
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=58
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=59
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=59
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=60
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=60
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3078.1 sustain=61
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3078.1 sustain=61
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1846.9 sustain=62
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1846.9 sustain=62
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1108.1 sustain=63
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1108.1 sustain=63
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=664.9 sustain=64
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=664.9 sustain=64
INFO:ryu_controller:Heuristic unblocking candidate: 10.0.0.1 on dpid 1 (ema=239.4)
INFO:ryu_controller:Heuristic unblocking candidate: 10.0.0.2 on dpid 1 (ema=239.4)
